host_id,K_locus
A1002KPN,Loci_proteins_count_18
E0204,Loci_proteins_count_21
k4159,Loci_proteins_count_20
9517_7_8,Loci_proteins_count_19
A1009KPN,Loci_proteins_count_24
K0006KPN,Loci_proteins_count_18
D0006,Loci_proteins_count_18
K12100,Loci_proteins_count_24
H0502KPN,Loci_proteins_count_18
K11933,Loci_proteins_count_24
A2808KPN,Loci_proteins_count_21
9263_7_40,Loci_proteins_count_19
k11601,Loci_proteins_count_16
A0507KPN,Loci_proteins_count_18
A2803KPN,Loci_proteins_count_21
k4043,Loci_proteins_count_20
K11373,Loci_proteins_count_24
k993,Loci_proteins_count_18
K0004KPN-COL,Loci_proteins_count_21
A0610KPN,Loci_proteins_count_18
A1402KPN,Loci_proteins_count_19
k10963,Loci_proteins_count_19
K0107KPN,Loci_proteins_count_21
B0104KPN,Loci_proteins_count_18
A2608KPN,Loci_proteins_count_24
A2001KPN,Loci_proteins_count_17
A0106KPN,Loci_proteins_count_19
k2234,Loci_proteins_count_20
A1303KPN,Loci_proteins_count_16
A0805KPN,Loci_proteins_count_19
