host_id,K_locus,ST
ERS739095,Loci_proteins_count_20,Unknown
K2,Loci_proteins_count_0,Unknown
sampleK3,Loci_proteins_count_19,Unknown
sampleK4,Loci_proteins_count_24,Unknown
ERS812516,Loci_proteins_count_19,Unknown
ERS739094,Loci_proteins_count_22,Unknown
ERS706552,Loci_proteins_count_18,Unknown
ERS523587,Loci_proteins_count_18,Unknown
ERS747603,Loci_proteins_count_19,Unknown
ERS706553,Loci_proteins_count_20,Unknown
ERS659571,Loci_proteins_count_16,Unknown
ERS706554,Loci_proteins_count_23,Unknown
ERS706555,Loci_proteins_count_19,Unknown
ERS743101,Loci_proteins_count_25,Unknown
ERS799795,Loci_proteins_count_16,Unknown
ERS799796,Loci_proteins_count_22,Unknown
ERS764450,Loci_proteins_count_20,Unknown
ERS764451,Loci_proteins_count_21,Unknown
ERS686707,Loci_proteins_count_20,Unknown
ERS523588,Loci_proteins_count_18,Unknown
K21,Loci_proteins_count_0,Unknown
ERS715468,Loci_proteins_count_18,Unknown
K23,Loci_proteins_count_0,Unknown
ERS747612,Loci_proteins_count_19,Unknown
ERS685293,Loci_proteins_count_14,Unknown
ERS799797,Loci_proteins_count_20,Unknown
K27,Loci_proteins_count_0,Unknown
K28,Loci_proteins_count_0,Unknown
ERS702127,Loci_proteins_count_17,Unknown
ERS715399,Loci_proteins_count_20,Unknown
ERS701896,Loci_proteins_count_20,Unknown
ERS736962,Loci_proteins_count_19,Unknown
ERS686708,Loci_proteins_count_21,Unknown
ERS715409,Loci_proteins_count_19,Unknown
ERS686709,Loci_proteins_count_20,Unknown
ERS764452,Loci_proteins_count_21,Unknown
ERS799798,Loci_proteins_count_18,Unknown
ERS715410,Loci_proteins_count_17,Unknown
ERS686710,Loci_proteins_count_20,Unknown
K40,Loci_proteins_count_0,Unknown
ERS686711,Loci_proteins_count_22,Unknown
ERS685294,Loci_proteins_count_20,Unknown
ERS747611,Loci_proteins_count_19,Unknown
ERS744787,Loci_proteins_count_20,Unknown
K45,Loci_proteins_count_0,Unknown
ERS702128,Loci_proteins_count_20,Unknown
ERS715469,Loci_proteins_count_19,Unknown
K48,Loci_proteins_count_0,Unknown
ERS715470,Loci_proteins_count_18,Unknown
ERS715471,Loci_proteins_count_10,Unknown
ERS706556,Loci_proteins_count_16,Unknown
K52,Loci_proteins_count_0,Unknown
K53,Loci_proteins_count_0,Unknown
ERS718583,Loci_proteins_count_20,Unknown
ERS715400,Loci_proteins_count_20,Unknown
ERS702129,Loci_proteins_count_21,Unknown
ERS523589,Loci_proteins_count_18,Unknown
ERS715401,Loci_proteins_count_22,Unknown
ERS715472,Loci_proteins_count_18,Unknown
ERS702130,Loci_proteins_count_20,Unknown
ERS685295,Loci_proteins_count_19,Unknown
ERS718584,Loci_proteins_count_19,Unknown
ERS702131,Loci_proteins_count_20,Unknown
ERS686706,Loci_proteins_count_24,Unknown
ERS702132,Loci_proteins_count_21,Unknown
ERS702133,Loci_proteins_count_20,Unknown
K67,Loci_proteins_count_0,Unknown
ERS715473,Loci_proteins_count_18,Unknown
K69,Loci_proteins_count_0,Unknown
K70,Loci_proteins_count_0,Unknown
K71,Loci_proteins_count_0,Unknown
K72,Loci_proteins_count_0,Unknown
ERS659577,Loci_proteins_count_19,Unknown
ERS659578,Loci_proteins_count_19,Unknown
ERS659579,Loci_proteins_count_23,Unknown
ERS659580,Loci_proteins_count_20,Unknown
ERS659581,Loci_proteins_count_17,Unknown
Kpcas091,Loci_proteins_count_16,Unknown
Kpcas042,Loci_proteins_count_21,Unknown
Kpcas039,Loci_proteins_count_22,Unknown
CU276,Loci_proteins_count_20,Unknown
CU293,Loci_proteins_count_20,Unknown
CU402,Loci_proteins_count_21,Unknown
CU406,Loci_proteins_count_21,Unknown
CU443,Loci_proteins_count_17,Unknown
CU448,Loci_proteins_count_17,Unknown
CU451,Loci_proteins_count_17,Unknown
CU494,Loci_proteins_count_21,Unknown
CU503,Loci_proteins_count_21,Unknown
132,Loci_proteins_count_20,Unknown
779,Loci_proteins_count_17,Unknown
806,Loci_proteins_count_16,Unknown
228,Loci_proteins_count_21,Unknown
245,Loci_proteins_count_21,Unknown
406,Loci_proteins_count_24,Unknown
1210,Loci_proteins_count_18,Unknown
1446,Loci_proteins_count_20,Unknown
1468,Loci_proteins_count_20,Unknown
1572,Loci_proteins_count_20,Unknown
2164,Loci_proteins_count_19,Unknown
HAV1_14,Loci_proteins_count_21,Unknown
HAV1_13,Loci_proteins_count_20,Unknown
HCV1_19,Loci_proteins_count_19,Unknown
HCV1_21,Loci_proteins_count_23,Unknown
HCV1_10,Loci_proteins_count_20,Unknown
HCV1_42,Loci_proteins_count_19,Unknown
HCV1_24,Loci_proteins_count_20,Unknown
HCV1_26,Loci_proteins_count_14,Unknown
HCV1_27,Loci_proteins_count_25,Unknown
HCV1_35,Loci_proteins_count_18,Unknown
HCV1_36,Loci_proteins_count_18,Unknown
HCV1_33,Loci_proteins_count_18,Unknown
KP_HGE01_045,Loci_proteins_count_20,Unknown
KP_HGE01_024,Loci_proteins_count_20,Unknown
KP_HGE01_025,Loci_proteins_count_22,Unknown
KP_HGE01_042,Loci_proteins_count_24,Unknown
KP_HGE01_017,Loci_proteins_count_20,Unknown
KP_HGE01_039,Loci_proteins_count_17,Unknown
KP_HGE01_044,Loci_proteins_count_22,Unknown
KP_HGE01_040,Loci_proteins_count_22,Unknown
KP_HGE01_029,Loci_proteins_count_19,Unknown
KP_HGE01_014,Loci_proteins_count_18,Unknown
KP_HGE01_003,Loci_proteins_count_24,Unknown
KP_HGE01_004,Loci_proteins_count_19,Unknown
KP_HGE01_005,Loci_proteins_count_19,Unknown
HGUA4_08,Loci_proteins_count_14,Unknown
KP_HGUA02_068,Loci_proteins_count_20,Unknown
HGUA4_09,Loci_proteins_count_19,Unknown
HGUA4_51,Loci_proteins_count_19,Unknown
KP_HGUA02_064,Loci_proteins_count_20,Unknown
KP_HGUA02_073,Loci_proteins_count_23,Unknown
KP_HGUA03_124,Loci_proteins_count_14,Unknown
KP_HGUA02_099,Loci_proteins_count_21,Unknown
KP_HGUA02_066,Loci_proteins_count_19,Unknown
KP_HGUA02_059,Loci_proteins_count_19,Unknown
KP_HGUA02_074,Loci_proteins_count_18,Unknown
KP_HGUA02_054,Loci_proteins_count_20,Unknown
KP_HGUA02_051,Loci_proteins_count_17,Unknown
KP_HGUA03_117,Loci_proteins_count_22,Unknown
KP_HGUA02_055,Loci_proteins_count_19,Unknown
KP_HGUA02_092,Loci_proteins_count_18,Unknown
HGUA4_15,Loci_proteins_count_25,Unknown
KP_HGUA03_108,Loci_proteins_count_19,Unknown
KP_HGUA03_147,Loci_proteins_count_20,Unknown
KP_HGUA02_071,Loci_proteins_count_16,Unknown
KP_HGUA02_089,Loci_proteins_count_20,Unknown
Kpcas027,Loci_proteins_count_20,Unknown
Kpcas048,Loci_proteins_count_19,Unknown
Kpcas083,Loci_proteins_count_18,Unknown
Kpcas024,Loci_proteins_count_20,Unknown
HGUC2_04,Loci_proteins_count_18,Unknown
Kpcas054,Loci_proteins_count_22,Unknown
HGUC2_09,Loci_proteins_count_19,Unknown
HLF1_17,Loci_proteins_count_16,Unknown
HLF1_40,Loci_proteins_count_23,Unknown
HLF1_54,Loci_proteins_count_19,Unknown
HLF1_68,Loci_proteins_count_18,Unknown
102KP-HG,Loci_proteins_count_21,Unknown
156KP-HG,Loci_proteins_count_19,Unknown
159KP-HG,Loci_proteins_count_20,Unknown
191KP-HG,Loci_proteins_count_20,Unknown
201KP-HG,Loci_proteins_count_20,Unknown
205KP-HG,Loci_proteins_count_18,Unknown
218KP-HG,Loci_proteins_count_21,Unknown
225KP-HG,Loci_proteins_count_20,Unknown
234KP-HG,Loci_proteins_count_18,Unknown
242KP-HG,Loci_proteins_count_20,Unknown
255KP-HG,Loci_proteins_count_18,Unknown
268KP-HG,Loci_proteins_count_20,Unknown
48KP-HG,Loci_proteins_count_16,Unknown
HGV2_297,Loci_proteins_count_19,Unknown
33KP-HG,Loci_proteins_count_19,Unknown
HGV2_332,Loci_proteins_count_19,Unknown
34KP-HG,Loci_proteins_count_16,Unknown
HGV2_341,Loci_proteins_count_19,Unknown
HGV2_370,Loci_proteins_count_19,Unknown
HGV2_371,Loci_proteins_count_22,Unknown
HGV2_379,Loci_proteins_count_20,Unknown
HGV2_398,Loci_proteins_count_18,Unknown
HGV2_400,Loci_proteins_count_19,Unknown
HGV2_418,Loci_proteins_count_17,Unknown
HGV2_429,Loci_proteins_count_16,Unknown
HGV2_430,Loci_proteins_count_21,Unknown
HGV2_431,Loci_proteins_count_18,Unknown
52KP-HG,Loci_proteins_count_19,Unknown
62KP-HG,Loci_proteins_count_19,Unknown
Moliner_03,Loci_proteins_count_16,Unknown
Moliner_08,Loci_proteins_count_19,Unknown
Moliner_02,Loci_proteins_count_19,Unknown
NTUH,Loci_proteins_count_20,Unknown
Kpcas111,Loci_proteins_count_20,Unknown
HGV2C_01,Loci_proteins_count_18,Unknown
HGV2C_10,Loci_proteins_count_14,Unknown
HGV2C_11,Loci_proteins_count_19,Unknown
HGV2C_13,Loci_proteins_count_19,Unknown
HGV2C_14,Loci_proteins_count_19,Unknown
HGV2C_16,Loci_proteins_count_16,Unknown
HGV2C_17,Loci_proteins_count_16,Unknown
HGV2C_18,Loci_proteins_count_20,Unknown
HGV2C_02,Loci_proteins_count_18,Unknown
HGV2C_19,Loci_proteins_count_17,Unknown
HGV2C_20,Loci_proteins_count_25,Unknown
HGV2C_23,Loci_proteins_count_18,Unknown
HGV2C_28,Loci_proteins_count_19,Unknown
HGV2C_03,Loci_proteins_count_21,Unknown
HGV2C_33,Loci_proteins_count_25,Unknown
HGV2C_34,Loci_proteins_count_22,Unknown
HGV2C_36_contigs,Loci_proteins_count_20,Unknown
HGV2C_37,Loci_proteins_count_18,Unknown
HGV2C_39,Loci_proteins_count_23,Unknown
HGV2C_06,Loci_proteins_count_18,Unknown
HGV2C_08,Loci_proteins_count_20,Unknown
CU371,Loci_proteins_count_22,Unknown
42KP-HG,Loci_proteins_count_20,Unknown
HGV2C_21,Loci_proteins_count_19,Unknown
